Timestamp,Year,Month,Day,Hour,Day_of_Week,Holiday_Name,Is_Bank_Holiday
2014-12-26,2014,12,26,0,Friday,Boxing Day,1
2015-01-01,2015,1,1,0,Thursday,New Year's Day,1
2015-04-03,2015,4,3,0,Friday,Good Friday,1
2015-05-04,2015,5,4,0,Monday,May Day,1
2015-05-25,2015,5,25,0,Monday,Spring Bank Holiday,1
2015-12-25,2015,12,25,0,Friday,Christmas Day,1
2015-12-26,2015,12,26,0,Saturday,Boxing Day,1
2015-12-28,2015,12,28,0,Monday,Boxing Day (observed),1
2016-01-01,2016,1,1,0,Friday,New Year's Day,1
2016-03-25,2016,3,25,0,Friday,Good Friday,1
2016-05-02,2016,5,2,0,Monday,May Day,1
2016-05-30,2016,5,30,0,Monday,Spring Bank Holiday,1
2016-12-25,2016,12,25,0,Sunday,Christmas Day,1
2016-12-26,2016,12,26,0,Monday,Boxing Day,1
2016-12-27,2016,12,27,0,Tuesday,Christmas Day (observed),1
2017-01-01,2017,1,1,0,Sunday,New Year's Day,1
2017-01-02,2017,1,2,0,Monday,New Year's Day (observed),1
2017-04-14,2017,4,14,0,Friday,Good Friday,1
2017-05-01,2017,5,1,0,Monday,May Day,1
2017-05-29,2017,5,29,0,Monday,Spring Bank Holiday,1
2017-12-25,2017,12,25,0,Monday,Christmas Day,1
2017-12-26,2017,12,26,0,Tuesday,Boxing Day,1
2018-01-01,2018,1,1,0,Monday,New Year's Day,1
2018-03-30,2018,3,30,0,Friday,Good Friday,1
2018-05-07,2018,5,7,0,Monday,May Day,1
2018-05-28,2018,5,28,0,Monday,Spring Bank Holiday,1
2018-12-25,2018,12,25,0,Tuesday,Christmas Day,1
2018-12-26,2018,12,26,0,Wednesday,Boxing Day,1
2019-01-01,2019,1,1,0,Tuesday,New Year's Day,1
2019-04-19,2019,4,19,0,Friday,Good Friday,1
2019-05-06,2019,5,6,0,Monday,May Day,1
2019-05-27,2019,5,27,0,Monday,Spring Bank Holiday,1
2019-12-25,2019,12,25,0,Wednesday,Christmas Day,1
2019-12-26,2019,12,26,0,Thursday,Boxing Day,1
2020-01-01,2020,1,1,0,Wednesday,New Year's Day,1
2020-04-10,2020,4,10,0,Friday,Good Friday,1
2020-05-08,2020,5,8,0,Friday,May Day,1
2020-05-25,2020,5,25,0,Monday,Spring Bank Holiday,1
2020-12-25,2020,12,25,0,Friday,Christmas Day,1
2020-12-26,2020,12,26,0,Saturday,Boxing Day,1
2020-12-28,2020,12,28,0,Monday,Boxing Day (observed),1
